ERPNumber,Bulk Edit Items,,,,,,,,,,
,Item Code,Item Name,Warehouse,Quantity,Valuation Rate,Amount,Current Qty,Current Valuation Rate,Current Amount,Quantity Difference,Amount Difference
,item_code,item_name,warehouse,qty,valuation_rate,amount,current_qty,current_valuation_rate,current_amount,quantity_difference,amount_difference
, , , , , , , , , , , 
,The CSV format is case sensitive,,,,,,,,,,
,Do not edit headers which are preset in the template,,,,,,,,,,
,------,,,,,,,,,,
200307-US1865-00,7W22-BIASTKIT,7W22-BIASTKIT,Milpitas - B,*1,1,,4,1,,,
,7W22-RK-4P,7W22-RK-4P,Milpitas - B,0,1,,0,1,,,
600001-005151-5000,ACU-CB-8I4OES,ACU-CB-8I4OES,Milpitas - B,*2,1,,0,1,,,
600001-005133-5000,ACU-MC-MM20,ACU-MC-MM20,Milpitas - B,0,1,,0,1,,,
600001-005172-5000,ACU-MC-MM20S,ACU-MC-MM20S,Milpitas - B,*2,1,,2,1,,,
600001-005134-5000,ACU-MC-S,ACU-MC-S,Milpitas - B,*1,1,,1,1,,,
600001-005135-5000,ACU-PS-A48W300,ACU-PS-A48W300,Milpitas - B,*1,1,,1,1,,,
600001-005136-5000,ACU-PS-A92W300,ACU-PS-A92W300,Milpitas - B,*2,1,,2,1,,,
600001-005138-5000,ACU-RF-19B65P50DED,ACU-RF-19B65P50DED,Milpitas - B,*3,1,,3,1,,,
600020-000101-5000,ACU-RF-20B70P50DED,ACU-RF-20B70P50DED,Milpitas - B,0,1,,0,1,,,
600001-005144-5000,ACU-RF-7LB18P50DED,ACU-RF-7LB18P50DED,Milpitas - B,*4,1,,4,1,,,
600001-005143-5000,ACU-RF-7UB11P50DED,ACU-RF-7UB11P50DED,Milpitas - B,*4,1,,4,1,,,
600001-005146-5000,ACU-RF-85B25P50DED,ACU-RF-85B25P50DED,Milpitas - B,*4,1,,4,1,,,
600008-000433-5000,ACU-RF-8SB07P50DED,ACU-RF-8SB07P50DED,Milpitas - B,*1,1,,1,1,,,
600001-005148-5000,ACU-RK-A,ACU-RK-A,Milpitas - B,*2,1,,2,1,,,
100599-US0275-00,AD-NF-4.3/10M,AD-NF-4.3/10M,Milpitas - B,0,1,,0,1,,,
100599-US0268-00,ADP-NF-MDM,ADP-NF-MDM,Milpitas - B,0,1,,0,1,,,
200307-001310-80,CM-AC2-OD4,CM-AC2-OD4,Milpitas - B,43,1,,43,1,,,
200307-US1780-00,CM-ACJP4-OD1,CM-ACJP4-OD1,Milpitas - B,0,1,,0,1,,,
200703-US0204-00,CM-ACJPY5-IA1,CM-ACJPY5-IA1,Milpitas - B,*12,1,,13,1,,,
200307-001048-80,CM-ACKP4-OD1A,CM-ACKP4-OD1A,Milpitas - B,*10,1,,10,1,,,
200307-001401-80,CM-ACKPT5-OD1,CM-ACKPT5-OD1,Milpitas - B,*41,1,,41,1,,,
200307-001171-80,CM-FK2-OD3,CM-FK2-OD3,Milpitas - B,*68,1,,68,1,,,
200307-001309-80,CM-PK2-OD4A,CM-PK2-OD4A,Milpitas - B,*86,1,,86,1,,,
200302-US0987-00,CO-FS05-OD300C(I),CO-FS05-OD300C(I),Milpitas - B,*24,1,,24,1,,,
200302-US0978-00,CO-FS05-OMD300C(I),CO-FS05-OMD300C(I),Milpitas - B,*12,1,,12,1,,,
200302-US0969-00,CO-FS05-ON300C(I),CO-FS05-ON300C(I),Milpitas - B,*33,1,,0,1,,,
200302-US0988-00,CO-FS06-OD300C(I),CO-FS06-OD300C(I),Milpitas - B,*25,1,,25,1,,,
200302-US0979-00,CO-FS06-OMD300C(I),CO-FS06-OMD300C(I),Milpitas - B,*13,1,,13,1,,,
200302-US0970-00,CO-FS06-ON300C(I),CO-FS06-ON300C(I),Milpitas - B,*0,1,,0,1,,,
200302-US0989-00,CO-FS07-OD300C(I),CO-FS07-OD300C(I),Milpitas - B,*15,1,,15,1,,,
200302-US0980-00,CO-FS07-OMD300C(I),CO-FS07-OMD300C(I),Milpitas - B,*10,1,,10,1,,,
200302-US0971-00,CO-FS07-ON300C(I),CO-FS07-ON300C(I),Milpitas - B,*15,1,,0,1,,,
200302-US0990-00,CO-FS08-OD300C(I),CO-FS08-OD300C(I),Milpitas - B,*15,1,,15,1,,,
200302-US0981-00,CO-FS08-OMD300C(I),CO-FS08-OMD300C(I),Milpitas - B,*9,1,,9,1,,,
200302-US0972-00,CO-FS08-ON300C(I),CO-FS08-ON300C(I),Milpitas - B,*14,1,,14,1,,,
200302-US0991-00,CO-FS10-OD300C(I),CO-FS10-OD300C(I),Milpitas - B,*25,1,,25,1,,,
200302-US0982-00,CO-FS10-OMD300C(I),CO-FS10-OMD300C(I),Milpitas - B,*12,1,,12,1,,,
200302-US0973-00,CO-FS10-ON300C(I),CO-FS10-ON300C(I),Milpitas - B,*10,1,,0,1,,,
200302-US0992-00,CO-FS13-OD300C(I),CO-FS13-OD300C(I),Milpitas - B,*25,1,,25,1,,,
200302-US0983-00,CO-FS13-OMD300C(I),CO-FS13-OMD300C(I),Milpitas - B,*10,1,,10,1,,,
200302-US0974-00,CO-FS13-ON300C(I),CO-FS13-ON300C(I),Milpitas - B,*25,1,,0,1,,,
200302-US0993-00,CO-FS15-OD300C(I),CO-FS15-OD300C(I),Milpitas - B,*15,1,,15,1,,,
200302-US0984-00,CO-FS15-OMD300C(I),CO-FS15-OMD300C(I),Milpitas - B,*15,1,,15,1,,,
200302-US0975-00,CO-FS15-ON300C(I),CO-FS15-ON300C(I),Milpitas - B,*15,1,,0,1,,,
200302-US0994-00,CO-FS20-OD300C(I),CO-FS20-OD300C(I),Milpitas - B,*5,1,,5,1,,,
200302-US0985-00,CO-FS20-OMD300C(I),CO-FS20-OMD300C(I),Milpitas - B,*7,1,,7,1,,,
200302-US0976-00,CO-FS20-ON300C(I),CO-FS20-ON300C(I),Milpitas - B,*3,1,,0,1,,,
600013-000065-0000,COM-BD21ODN8,COM-BD21ODN8,Milpitas - B,*17,1,,0,1,,,
600013-000064-0000,COM-BD21ONN5,COM-BD21ONN5,Milpitas - B,0,1,,0,1,,,
200302-US1045-00,DC-FR05-OD300C(I),DC-FR05-OD300C(I),Milpitas - B,*31,1,,31,1,,,
200302-US1037-00,DC-FR05-OMD300C(I),DC-FR05-OMD300C(I),Milpitas - B,*20,1,,20,1,,,
200302-US1029-00,DC-FR05-ON300C(I),DC-FR05-ON300C(I),Milpitas - B,*34,1,,34,1,,,
200302-US1046-00,DC-FR06-OD300C(I),DC-FR06-OD300C(I),Milpitas - B,*30,1,,30,1,,,
200302-US1038-00,DC-FR06-OMD300C(I),DC-FR06-OMD300C(I),Milpitas - B,*24,1,,24,1,,,
200302-US1030-00,DC-FR06-ON300C(I),DC-FR06-ON300C(I),Milpitas - B,*15,1,,22,1,,,
200302-US1047-00,DC-FR07-OD300C(I),DC-FR07-OD300C(I),Milpitas - B,*5,1,,5,1,,,
200302-US1039-00,DC-FR07-OMD300C(I),DC-FR07-OMD300C(I),Milpitas - B,*5,1,,5,1,,,
200302-US1031-00,DC-FR07-ON300C(I),DC-FR07-ON300C(I),Milpitas - B,*5,1,,5,1,,,
200302-US1048-00,DC-FR08-OD300C(I),DC-FR08-OD300C(I),Milpitas - B,*5,1,,5,1,,,
200302-US1040-00,DC-FR08-OMD300C(I),DC-FR08-OMD300C(I),Milpitas - B,*17,1,,17,1,,,
200302-US1032-00,DC-FR08-ON300C(I),DC-FR08-ON300C(I),Milpitas - B,*3,1,,3,1,,,
200302-US1049-00,DC-FR10-OD300C(I),DC-FR10-OD300C(I),Milpitas - B,*31,1,,31,1,,,
200302-US1041-00,DC-FR10-OMD300C(I),DC-FR10-OMD300C(I),Milpitas - B,*20,1,,20,1,,,
200302-US1033-00,DC-FR10-ON300C(I),DC-FR10-ON300C(I),Milpitas - B,*30,1,,34,1,,,
200302-US1050-00,DC-FR13-OD300C(I),DC-FR13-OD300C(I),Milpitas - B,*29,1,,29,1,,,
200302-US1042-00,DC-FR13-OMD300C(I),DC-FR13-OMD300C(I),Milpitas - B,*13,1,,13,1,,,
200302-US1034-00,DC-FR13-ON300C(I),DC-FR13-ON300C(I),Milpitas - B,*24,1,,24,1,,,
200302-US1051-00,DC-FR15-OD300C(I),DC-FR15-OD300C(I),Milpitas - B,*5,1,,5,1,,,
